Station,Lat,Lon
701,40.77375,-67.78228112
702,40.77375,-67.64088112
703,40.77375,-67.49948112
704,40.77375,-67.35808112
705,40.77375,-67.21668112
706,40.77375,-67.07528112
707,40.87125,-67.78228112
708,40.87125,-67.64088112
709,40.87125,-67.49948112
710,40.87125,-67.35808112
711,40.87125,-67.21668112
712,40.87125,-67.07528112
713,40.87125,-66.93388112
714,40.96875,-67.78228112
715,40.96875,-67.64088112
716,40.96875,-67.49948112
717,40.96875,-67.35808112
718,40.96875,-67.21668112
719,40.96875,-67.07528112
720,40.96875,-66.93388112
721,40.96875,-66.79248112
722,40.96875,-66.65108112
723,41.06625,-67.49948112
724,41.06625,-67.35808112
725,41.06625,-67.21668112
726,41.06625,-67.07528112
727,41.06625,-66.93388112
728,41.06625,-66.79248112
729,41.06625,-66.65108112
730,41.16375,-67.21668112
731,41.16375,-67.07528112
732,41.16375,-66.93388112
733,41.16375,-66.79248112
734,41.16375,-66.65108112
735,41.06447353,-66.515181
736,41.26125,-67.07528112
737,41.26125,-66.93388112
738,41.26125,-66.79248112
739,41.26125,-66.65108112
740,41.26125,-66.50968112
741,41.16777925,-66.51053347
742,41.35875,-67.07528112
743,41.35875,-66.93388112
744,41.35875,-66.79248112
745,41.35875,-66.65108112
746,41.35875,-66.50968112
747,41.45625,-67.07528112
748,41.45625,-66.93388112
749,41.45625,-66.79248112
750,41.45625,-66.65108112
